datetime,1,3,5,7,9
1984-04-04 23:00:00,4.496968454784817e-08,4.800795956894204e-08,3.229414147359354e-08,1.5366096739415768e-08,7.75858649501094e-08
1984-04-05 23:00:00,7.493123964027122e-08,9.384828585165519e-08,6.02832105424669e-08,3.1203406828421134e-08,9.102172873638294e-08
1984-04-06 23:00:00,1.6071621190618586e-08,1.0511946209050992e-08,8.974563744333055e-09,3.9142204655541317e-08,3.500538567701976e-08
1984-04-07 23:00:00,6.558264295260111e-08,6.953781401669537e-08,5.1557189888424344e-08,1.7713282119344783e-08,8.512372771898906e-08
1984-04-08 23:00:00,1.501059752923471e-07,1.7612246451554476e-07,1.3335169465453536e-07,2.1365401921448884e-07,2.497050497266981e-07
1984-04-09 23:00:00,5.260543483826849e-09,5.231605911696399e-09,6.712063871048115e-09,3.82407037196336e-08,2.7988519933488633e-08
1984-04-10 23:00:00,8.893926386479978e-09,5.218847827227028e-09,7.597939283759505e-09,4.360923060664424e-08,2.7171149849891664e-08
1984-04-11 23:00:00,3.0647442434672956e-09,4.666194802633039e-09,3.174582013377437e-09,2.7465543502734767e-10,6.965422933852231e-09
1984-04-12 23:00:00,3.199800021118588e-08,3.618749479452769e-08,2.6594152053197225e-08,5.891874432563782e-08,8.009584965529265e-08
1984-04-13 23:00:00,3.4070210876288235e-08,4.460823480729704e-08,2.728053265147739e-08,2.0727270317298393e-09,4.0064233320730705e-08
1984-04-14 23:00:00,1.7748230033450658e-07,2.2849544330879494e-07,1.5629782720848366e-07,1.000656297913304e-08,1.2062645620769925e-07
1984-04-15 23:00:00,2.595713182731911e-07,2.9100053840213354e-07,2.541415117405079e-07,9.791236370801926e-09,9.965672537132545e-08
1984-04-16 23:00:00,1.7973408654884056e-07,1.7061680555343627e-07,1.758663301114683e-07,6.548169724367283e-09,4.5514360622123434e-08
1984-04-17 23:00:00,1.6825610840762104e-07,1.5924406272393686e-07,1.5691586114742137e-07,2.8987863549479733e-08,5.7961653780054166e-08
1984-04-18 23:00:00,5.033139829282407e-08,5.797873492594119e-08,4.130052195654975e-08,9.175000229367504e-09,3.437407038829945e-08
1984-04-19 23:00:00,3.616438971625434e-08,4.581736745657744e-08,3.049091608436019e-08,3.476450564684691e-08,6.119217585634303e-08
1984-04-20 23:00:00,1.8855687920694e-08,1.5623130732112462e-08,1.380265172984865e-08,7.034523150650784e-12,1.5458815075733044e-08
